80001, 1000 EAST TRIGG AVE, MEMPHIS, TN, 
80002, 1000 EAST TRIGG38106, MEMPHIS, TN, 
80003, 1000 EAST UNIVERSITY CABANAS, MEMPHIS, TN, 
80004, 1000 EAST WALTHAL CIRCLE, MEMPHIS, TN, 
80005, 1000 EASTERN, MEMPHIS, TN, 
80006, 1000 EATHEL, MEMPHIS, TN, 
80007, 1000 ECHELES, MEMPHIS, TN, 
80008, 1000 ECHELS, MEMPHIS, TN, 
80009, 1000 EH CRUMP AVE, MEMPHIS, TN, 
80010, 1000 EHCRUMP BOULEVARD, MEMPHIS, TN, 
80011, 1000 ELDRIDGE RD, MEMPHIS, TN, 
80012, 1000 ELDRIGE, MEMPHIS, TN, 
80013, 1000 ELIZABETH AVE, MEMPHIS, TN, 
80014, 1000 ELIZABETH LANE, MEMPHIS, TN, 
80015, 1000 EMALLORY AVE, MEMPHIS, TN, 
80016, 1000 EMMIE PL, MEMPHIS, TN, 
80017, 1000 ENFIELD AVE, MEMPHIS, TN, 
80018, 1000 ENFIELD ST, MEMPHIS, TN, 
80019, 1000 ESHELBY DR, MEMPHIS, TN, 
80020, 1000 ESPLANADE AVE, MEMPHIS, TN, 
80021, 1000 ESPLANADE PL., MEMPHIS, TN, 
80022, 1000 ESPLANDA PL, MEMPHIS, TN, 
80023, 1000 ESPLANDE, MEMPHIS, TN, 
80024, 1000 ESPLENADE, MEMPHIS, TN, 
80025, 1000 ESTATE PL, MEMPHIS, TN, 
80026, 1000 ESTATE STE 8, MEMPHIS, TN, 
80027, 1000 ESTATE SUITE 11, MEMPHIS, TN, 
80028, 1000 ESTIVAL PL, MEMPHIS, TN, 
80029, 1000 ETRIGG AVE, MEMPHIS, TN, 
80030, 1000 EYERES, MEMPHIS, TN, 
80031, 1000 EYES RD, MEMPHIS, TN, 
80032, 1000 FAIR MEADOW RD, MEMPHIS, TN, 
80033, 1000 FAIRFEILD, MEMPHIS, TN, 
80034, 1000 FAXON AND GLANKER, MEMPHIS, TN, 
80035, 1000 FIELDA, MEMPHIS, TN, 
80036, 1000 FLORDIA, MEMPHIS, TN, 
80037, 1000 FOREST, MEMPHIS, TN, 
80038, 1000 FORESTT, MEMPHIS, TN, 
80039, 1000 FORTFORT AVE, MEMPHIS, TN, 
80040, 1000 FORTH ST, MEMPHIS, TN, 
80041, 1000 FOURTH STREER, MEMPHIS, TN, 
80042, 1000 FRANKFORT ST AND MACON RD, MEMPHIS, TN, 
80043, 1000 FRAYSER BLV, MEMPHIS, TN, 
80044, 1000 FRAYSER CIRCLE DR, MEMPHIS, TN, 
80045, 1000 FRAYSER CR ST, MEMPHIS, TN, 
80046, 1000 FRAYSER MANOR, MEMPHIS, TN, 
80047, 1000 FRAYSER SCHOOL, MEMPHIS, TN, 
80048, 1000 FRONT ST, MEMPHIS, TN, 
80049, 1000 FRONT, MEMPHIS, TN, 
80050, 1000 G W WILLIAMS, MEMPHIS, TN, 
80051, 1000 GAIT HER CV, MEMPHIS, TN, 
80052, 1000 GAITER PARK LN, MEMPHIS, TN, 
