81001, 1026 AND 1028 MISSISSIPPI BLVD, MEMPHIS, TN, 
81002, 1026BROWER, MEMPHIS, TN, 
81003, 1027E BROOKS RD, MEMPHIS, TN, 
81004, 1029 AND 1031 LAGRANGE, MEMPHIS, TN, 
81005, 10300 COTTAGE FARM DR, MEMPHIS, TN, 
81006, 10300 COTTAGE OAK CV, MEMPHIS, TN, 
81007, 10300 COTTAGE OAK DR, MEMPHIS, TN, 
81008, 10300 COTTAGE OAK GROVE, MEMPHIS, TN, 
81009, 10300 COTTAGE OAKS CV, MEMPHIS, TN, 
81010, 10300 COTTON FARMS, MEMPHIS, TN, 
81011, 10300 HUMPHREYS, MEMPHIS, TN, 
81012, 10300 MORNING DR. VW, MEMPHIS, TN, 
81013, 10300 MORNING HILL RD, MEMPHIS, TN, 
81014, 10300 MORNING HILLHILL, MEMPHIS, TN, 
81015, 10300 MORNING OAK CV, MEMPHIS, TN, 
81016, 10300 NEW WELL TER, MEMPHIS, TN, 
81017, 10300 NEW WELL TERRANCE, MEMPHIS, TN, 
81018, 10300 NEW WELL, MEMPHIS, TN, 
81019, 10300 OLD ELL TERRACE, MEMPHIS, TN, 
81020, 10300 OLD TERRACE, MEMPHIS, TN, 
81021, 10300 OLD WELL TERR, MEMPHIS, TN, 
81022, 10300 OLD WELL TR, MEMPHIS, TN, 
81023, 10300 OLD WELL, MEMPHIS, TN, 
81024, 10300 TALL HICKORY DR, MEMPHIS, TN, 
81025, 1032REEDLOVE, MEMPHIS, TN, 
81026, 1037SEATTLE, MEMPHIS, TN, 
81027, 1038S ORLEANS, MEMPHIS, TN, 
81028, 10400 COTTAGE DR, MEMPHIS, TN, 
81029, 10400 COTTAGE OAK, MEMPHIS, TN, 
81030, 10400 HWY 64, MEMPHIS, TN, 
81031, 10400 WALDEN CV PNE, MEMPHIS, TN, 
81032, 1045N GERMANTOWN PKWY, MEMPHIS, TN, 
81033, 1047 AND 1049 EAST PKWY SOUTH, MEMPHIS, TN, 
81034, 10500 HWY64 RD, MEMPHIS, TN, 
81035, 10500 MABRY MILL RD, MEMPHIS, TN, 
81036, 1050A N PKWY, MEMPHIS, TN, 
81037, 1054WOODBURY, MEMPHIS, TN, 
81038, 1057ALICE, MEMPHIS, TN, 
81039, 10600 HWY, MEMPHIS, TN, 
81040, 10600 HWY64, MEMPHIS, TN, 
81041, 10600 U S HWY 64, MEMPHIS, TN, 
81042, 10600 US 64, MEMPHIS, TN, 
81043, 10600 USHWY64, MEMPHIS, TN, 
81044, 1062N DUNLAP, MEMPHIS, TN, 
81045, 1064 AND 1068 S COOPER, MEMPHIS, TN, 
81046, 1064WILLETT, MEMPHIS, TN, 
81047, 1069GREENLAW ST, MEMPHIS, TN, 
81048, 107 AND 111 FAIRWAY MEADOW CIRCLE N, MEMPHIS, TN, 
81049, 10700 HIGHWAY 64, MEMPHIS, TN, 
81050, 107107300, MEMPHIS, TN, 
81051, 1075SPRINGDALE, MEMPHIS, TN, 
81052, 1077AZALIA, MEMPHIS, TN, 
81053, 1078KERR, MEMPHIS, TN, 
81054, 10800 HIGHWAY 64, MEMPHIS, TN, 
81055, 10800 OAK CIRCLE SOUTH, MEMPHIS, TN, 
81056, 1081:COURT, MEMPHIS, TN, 
81057, 1081COURT, MEMPHIS, TN, 
81058, 10900 HWY 64, MEMPHIS, TN, 
81059, 1091BEECHWOOD AVE, MEMPHIS, TN, 
81060, 1091NEPTUNE, MEMPHIS, TN, 
81061, 1095 AND 3 AND 1091 AND 4 WHITAKET, MEMPHIS, TN, 
81062, 10TH BLOCK OF N FOURTH ST, MEMPHIS, TN, 
81063, 1100 & 1020 MARECHALNEIL ST, MEMPHIS, TN, 
81064, 1100 #6, MEMPHIS, TN, 
81065, 1100 0AKMONT PLACE, MEMPHIS, TN, 
81066, 1100 2ND ST, MEMPHIS, TN, 
81067, 1100 7TH, MEMPHIS, TN, 
81068, 1100 ADAMS, MEMPHIS, TN, 
81069, 1100 AIRWAYS ST AND PROGRESS AVE, MEMPHIS, TN, 
81070, 1100 AKANSAS ST, MEMPHIS, TN, 
81071, 1100 ALAKSA, MEMPHIS, TN, 
81072, 1100 ALCY RD, MEMPHIS, TN, 
81073, 1100 ALCY ST, MEMPHIS, TN, 
81074, 1100 ALDEN DR, MEMPHIS, TN, 
81075, 1100 ALLIS AVE, MEMPHIS, TN, 
81076, 1100 ALTANTIC, MEMPHIS, TN, 
81077, 1100 ANNESDALE #103, MEMPHIS, TN, 
81078, 1100 ANNSDALE, MEMPHIS, TN, 
81079, 1100 APRIL WOODS CIRCLE, MEMPHIS, TN, 
81080, 1100 APRIL WOODS, MEMPHIS, TN, 
81081, 1100 ARBOR BEND, MEMPHIS, TN, 
81082, 1100 ARYE, MEMPHIS, TN, 
81083, 1100 AUBUBON DR, MEMPHIS, TN, 
81084, 1100 AUDBON, MEMPHIS, TN, 
81085, 1100 AUDOBON DR, MEMPHIS, TN, 
81086, 1100 AVERETT CV, MEMPHIS, TN, 
81087, 1100 AVON RD AND MCCRORY RD, MEMPHIS, TN, 
81088, 1100 AVON ST, MEMPHIS, TN, 
81089, 1100 AYERS IN FRONT OF, MEMPHIS, TN, 
81090, 1100 AZAILA, MEMPHIS, TN, 
81091, 1100 AZAILIA, MEMPHIS, TN, 
81092, 1100 B DUNLAP, MEMPHIS, TN, 
81093, 1100 BAINE, MEMPHIS, TN, 
81094, 1100 BAMEL, MEMPHIS, TN, 
81095, 1100 BAMMEL ST, MEMPHIS, TN, 
81096, 1100 BARKSDALE ST, MEMPHIS, TN, 
81097, 1100 BARKSDALE, MEMPHIS, TN, 
81098, 1100 BARRON CT, MEMPHIS, TN, 
81099, 1100 BARRON, MEMPHIS, TN, 
81100, 1100 BEATRICE ST, MEMPHIS, TN, 
81101, 1100 BEECH, MEMPHIS, TN, 
81102, 1100 BELEVDERE, MEMPHIS, TN, 
81103, 1100 BELFIORE LN, MEMPHIS, TN, 
81104, 1100 BELIFORE, MEMPHIS, TN, 
81105, 1100 BELLEVUE AND MCLEMORE AVE, MEMPHIS, TN, 
81106, 1100 BELLEVUE BLVD, MEMPHIS, TN, 
81107, 1100 BELLEVUE ST AND POPLAR AVE, MEMPHIS, TN, 
81108, 1100 BELLMA ST, MEMPHIS, TN, 
81109, 1100 BELLVUE BLVD, MEMPHIS, TN, 
81110, 1100 BERCLAIR RD., MEMPHIS, TN, 
81111, 1100 BEVELERY, MEMPHIS, TN, 
81112, 1100 BEVELRY ST, MEMPHIS, TN, 
81113, 1100 BEVELY, MEMPHIS, TN, 
81114, 1100 BEVERLY AVE, MEMPHIS, TN, 
81115, 1100 BEVERLY SRREET, MEMPHIS, TN, 
81116, 1100 BILL HASLAM COVE, MEMPHIS, TN, 
81117, 1100 BILL HASLAM, MEMPHIS, TN, 
81118, 1100 BIRCH LEAF RD, MEMPHIS, TN, 
81119, 1100 BIRCHLEAF DR, MEMPHIS, TN, 
81120, 1100 BLAKE ST, MEMPHIS, TN, 
81121, 1100 BLAKE, MEMPHIS, TN, 
81122, 1100 BLK BROWNLEE, MEMPHIS, TN, 
81123, 1100 BLK CHATWOOD ST AND PLEASANT CV, MEMPHIS, TN, 
81124, 1100 BLK DECATUR, MEMPHIS, TN, 
81125, 1100 BLK OF CHELSEA AVE AND BREEDLOVE ST, MEMPHIS, TN, 
81126, 1100 BLK RICHLAND DR AND ELVIS PRESLEY BLVD, MEMPHIS, TN, 
81127, 1100 BLK VOLLINTINE, MEMPHIS, TN, 
81128, 1100 BLOCK BARRON CT, MEMPHIS, TN, 
81129, 1100 BLOCK BRADLEY, MEMPHIS, TN, 
81130, 1100 BLOCK CHELSEA AVE, MEMPHIS, TN, 
81131, 1100 BLOCK FRAYSER BLVD, MEMPHIS, TN, 
81132, 1100 BLOCK GERARD PLACE, MEMPHIS, TN, 
81133, 1100 BLOCK I-240 S AND B AND MCLEMORE AVE, MEMPHIS, TN, 
81134, 1100 BLOCK ISLAND DR, MEMPHIS, TN, 
81135, 1100 BLOCK N GARLAND, MEMPHIS, TN, 
81136, 1100 BLOCK OF AUBRA RD, MEMPHIS, TN, 
81137, 1100 BLOCK OF BELVEDERE, MEMPHIS, TN, 
81138, 1100 BLOCK OF BREEDLOVE AVE, MEMPHIS, TN, 
81139, 1100 BLOCK OF CHICAGO ST, MEMPHIS, TN, 
81140, 1100 BLOCK OF CLEMENTINE, MEMPHIS, TN, 
81141, 1100 BLOCK OF FRAYSER, MEMPHIS, TN, 
81142, 1100 BLOCK OF HOLMES AVE, MEMPHIS, TN, 
81143, 1100 BLOCK OF HUGENOT, MEMPHIS, TN, 
81144, 1100 BLOCK OF JAMES ST, MEMPHIS, TN, 
81145, 1100 BLOCK OF LINDEN AVE, MEMPHIS, TN, 
81146, 1100 BLOCK OF LINDEN AVENUE AND I-240 STREET, MEMPHIS, TN, 
81147, 1100 BLOCK OF LINDEN AVENUE AND SOUTH WALDRAN STREET, MEMPHIS, TN, 
81148, 1100 BLOCK OF MADISON AVE, MEMPHIS, TN, 
81149, 1100 BLOCK OF MARGARET RD, MEMPHIS, TN, 
81150, 1100 BLOCK OF N HIGHLAND, MEMPHIS, TN, 
81151, 1100 BLOCK OF PATTON ST, MEMPHIS, TN, 
81152, 1100 BLOCK OF RIVERPORT, MEMPHIS, TN, 
81153, 1100 BLOCK OF S FOURTH AND EDITH AVE, MEMPHIS, TN, 
81154, 1100 BLOCK OF STAGE, MEMPHIS, TN, 
81155, 1100 BLOCK OF TUNSTALL, MEMPHIS, TN, 
81156, 1100 BLOCK OF WHITAKER, MEMPHIS, TN, 
81157, 1100 BLOCK SOUTH PARKWAY AND CUMMINGS ST, MEMPHIS, TN, 
81158, 1100 BLUE BIRD LN, MEMPHIS, TN, 
81159, 1100 BLUE BIRD, MEMPHIS, TN, 
81160, 1100 BONNIE DR, MEMPHIS, TN, 
81161, 1100 BONNIE LN, MEMPHIS, TN, 
81162, 1100 BONNIE STREET, MEMPHIS, TN, 
81163, 1100 BOONE HOLLOW DR, MEMPHIS, TN, 
81164, 1100 BOONES HALLOW, MEMPHIS, TN, 
81165, 1100 BOONES HOLLOW RD, MEMPHIS, TN, 
81166, 1100 BOONS HOLLOW, MEMPHIS, TN, 
81167, 1100 BRACKFIELD RD, MEMPHIS, TN, 
81168, 1100 BRADDLEY, MEMPHIS, TN, 
81169, 1100 BRAMMEL, MEMPHIS, TN, 
81170, 1100 BRANDON, MEMPHIS, TN, 
81171, 1100 BREDLOVE, MEMPHIS, TN, 
81172, 1100 BREEBLOVE, MEMPHIS, TN, 
81173, 1100 BREEDBLOVE, MEMPHIS, TN, 
81174, 1100 BREEZY VALLEY, MEMPHIS, TN, 
81175, 1100 BROOK RD, MEMPHIS, TN, 
81176, 1100 BROOKGREEN RD, MEMPHIS, TN, 
81177, 1100 BROWER STREET, MEMPHIS, TN, 
81178, 1100 BROWLEE, MEMPHIS, TN, 
81179, 1100 BROWNLEE DR, MEMPHIS, TN, 
81180, 1100 BROWNLEE ST, MEMPHIS, TN, 
81181, 1100 BUFFORD ELLINGTON, MEMPHIS, TN, 
81182, 1100 BUFORD ELLINGTON WEST, MEMPHIS, TN, 
81183, 1100 BUFORD ELLINGTON, MEMPHIS, TN, 
81184, 1100 BUNCKER, MEMPHIS, TN, 
81185, 1100 BURBON PL, MEMPHIS, TN, 
81186, 1100 BURFORD ELLINGTON, MEMPHIS, TN, 
81187, 1100 BYLTHE, MEMPHIS, TN, 
81188, 1100 CABANA CIR E 4, MEMPHIS, TN, 
81189, 1100 CABANA CIR S, MEMPHIS, TN, 
81190, 1100 CABANA CIRCLE #6, MEMPHIS, TN, 
81191, 1100 CABANA CIRCLE EAST 7, MEMPHIS, TN, 
81192, 1100 CABANA CIRCLE N, MEMPHIS, TN, 
81193, 1100 CABANA CIRCLE NORTH, MEMPHIS, TN, 
81194, 1100 CABANA CR E, MEMPHIS, TN, 
81195, 1100 CABANA CR EASF, MEMPHIS, TN, 
81196, 1100 CABANA CR EAST, MEMPHIS, TN, 
81197, 1100 CABANA CR, MEMPHIS, TN, 
81198, 1100 CABANA CT, MEMPHIS, TN, 
81199, 1100 CABANA E, MEMPHIS, TN, 
81200, 1100 CABANA EAST CIRCLE, MEMPHIS, TN, 
81201, 1100 CABANAN CIR E, MEMPHIS, TN, 
81202, 1100 CABANNA CR E, MEMPHIS, TN, 
81203, 1100 CABANNA EAST, MEMPHIS, TN, 
81204, 1100 CABANNA, MEMPHIS, TN, 
81205, 1100 CABBANA CIR E, MEMPHIS, TN, 
81206, 1100 CABINA EAST, MEMPHIS, TN, 
81207, 1100 CAMBRIAN DRIVE, MEMPHIS, TN, 
81208, 1100 CAMBRIAN LN, MEMPHIS, TN, 
81209, 1100 CAMRIEN, MEMPHIS, TN, 
81210, 1100 CANARY LN., MEMPHIS, TN, 
81211, 1100 CANNERY ST, MEMPHIS, TN, 
81212, 1100 CAPRI, MEMPHIS, TN, 
81213, 1100 CAREY DR, MEMPHIS, TN, 
81214, 1100 CARNARY LN, MEMPHIS, TN, 
81215, 1100 CARRELTON, MEMPHIS, TN, 
81216, 1100 CARROLTON DR, MEMPHIS, TN, 
81217, 1100 CARROLTON RD, MEMPHIS, TN, 
81218, 1100 CASSABELLA, MEMPHIS, TN, 
81219, 1100 CASSEBELLA CV, MEMPHIS, TN, 
81220, 1100 CASTALIA, MEMPHIS, TN, 
81221, 1100 CATALINA, MEMPHIS, TN, 
81222, 1100 CEDAR AVE, MEMPHIS, TN, 
81223, 1100 CHAMBERS, MEMPHIS, TN, 
81224, 1100 CHAMBLIS, MEMPHIS, TN, 
81225, 1100 CHAMBLISS RM 101A, MEMPHIS, TN, 
81226, 1100 CHAMBLISS ROAD, MEMPHIS, TN, 
81227, 1100 CHAMBLISS ST, MEMPHIS, TN, 
81228, 1100 CHANNEL ST, MEMPHIS, TN, 
81229, 1100 CHARTER OAK DR, MEMPHIS, TN, 
