83001, 1200 PATTON #7, MEMPHIS, TN, 
83002, 1200 PEAR, MEMPHIS, TN, 
83003, 1200 PEARCE AVE, MEMPHIS, TN, 
83004, 1200 PEIRCE, MEMPHIS, TN, 
83005, 1200 PELIAN LN, MEMPHIS, TN, 
83006, 1200 PENDLETON ST, MEMPHIS, TN, 
83007, 1200 PENNSYLVANIA ST, MEMPHIS, TN, 
83008, 1200 PERA AVE, MEMPHIS, TN, 
83009, 1200 PERKINS ROAD, MEMPHIS, TN, 
83010, 1200 PERKINS TERRANCE, MEMPHIS, TN, 
83011, 1200 PHILLIPS, MEMPHIS, TN, 
83012, 1200 PIERCE, MEMPHIS, TN, 
83013, 1200 PIGEON PERCH, MEMPHIS, TN, 
83014, 1200 POLAR, MEMPHIS, TN, 
83015, 1200 POLLEN ST, MEMPHIS, TN, 
83016, 1200 POPE ST, MEMPHIS, TN, 
83017, 1200 POPLAR 16, MEMPHIS, TN, 
83018, 1200 POPLAR 34, MEMPHIS, TN, 
83019, 1200 POPLAR APT 29, MEMPHIS, TN, 
83020, 1200 POPLAR APT 32, MEMPHIS, TN, 
83021, 1200 POPLAR APT 34, MEMPHIS, TN, 
83022, 1200 POPLAR AVE #6, MEMPHIS, TN, 
83023, 1200 POPLAR AVENUE, MEMPHIS, TN, 
83024, 1200 POPPEN ST, MEMPHIS, TN, 
83025, 1200 POPPENS, MEMPHIS, TN, 
83026, 1200 POPPIN, MEMPHIS, TN, 
83027, 1200 POPPOCK, MEMPHIS, TN, 
83028, 1200 PORTLAND, MEMPHIS, TN, 
83029, 1200 PRIMACY, MEMPHIS, TN, 
83030, 1200 QUAILRUN, MEMPHIS, TN, 
83031, 1200 QUINN AVE, MEMPHIS, TN, 
83032, 1200 RAILLTON, MEMPHIS, TN, 
83033, 1200 RAINES, MEMPHIS, TN, 
83034, 1200 RAYMOUND, MEMPHIS, TN, 
83035, 1200 REBA CV, MEMPHIS, TN, 
83036, 1200 REBA, MEMPHIS, TN, 
83037, 1200 REBAH, MEMPHIS, TN, 
83038, 1200 REMBERT PL, MEMPHIS, TN, 
83039, 1200 REMERT, MEMPHIS, TN, 
83040, 1200 RICHLAND RD, MEMPHIS, TN, 
83041, 1200 RIDGE WAY, MEMPHIS, TN, 
83042, 1200 RIVER ISLE DR, MEMPHIS, TN, 
83043, 1200 RIVERSIDE BLVD, MEMPHIS, TN, 
83044, 1200 ROBIN HOOD RD, MEMPHIS, TN, 
83045, 1200 ROBINWOOD LN, MEMPHIS, TN, 
83046, 1200 ROCHESTER, MEMPHIS, TN, 
83047, 1200 ROSE SCALET, MEMPHIS, TN, 
83048, 1200 ROZELL, MEMPHIS, TN, 
83049, 1200 RULAND, MEMPHIS, TN, 
83050, 1200 RUSSWOOD AVE, MEMPHIS, TN, 
83051, 1200 RUTLAND 1, MEMPHIS, TN, 
83052, 1200 RUTLAND APT 4, MEMPHIS, TN, 
83053, 1200 RYDET, MEMPHIS, TN, 
83054, 1200 S 4TH, MEMPHIS, TN, 
83055, 1200 S BARKDALE, MEMPHIS, TN, 
83056, 1200 S BELLEVE, MEMPHIS, TN, 
83057, 1200 S BELLEVEU BLVD, MEMPHIS, TN, 
83058, 1200 S BELLEVIEW, MEMPHIS, TN, 
83059, 1200 S BELLEVU, MEMPHIS, TN, 
83060, 1200 S BELLEVUE AVE AND TRIGG AVE, MEMPHIS, TN, 
83061, 1200 S BELLEVUE PKWY, MEMPHIS, TN, 
83062, 1200 S BELLUVE, MEMPHIS, TN, 
83063, 1200 S BELLUVUE, MEMPHIS, TN, 
83064, 1200 S BELLVIEW, MEMPHIS, TN, 
83065, 1200 S BELLVUE BLVD, MEMPHIS, TN, 
83066, 1200 S COOPER #4, MEMPHIS, TN, 
83067, 1200 S COOPER 4, MEMPHIS, TN, 
83068, 1200 S COOPER APT1, MEMPHIS, TN, 
83069, 1200 S FLORIDA ST, MEMPHIS, TN, 
83070, 1200 S FOURTH 5, MEMPHIS, TN, 
83071, 1200 S HIGHLAD, MEMPHIS, TN, 
83072, 1200 S HIGHLAND ST, MEMPHIS, TN, 
83073, 1200 S LIONS GTWY, MEMPHIS, TN, 
83074, 1200 S MAIN # 3, MEMPHIS, TN, 
83075, 1200 S MAIN #6, MEMPHIS, TN, 
83076, 1200 S MAIN STREET, MEMPHIS, TN, 
83077, 1200 S MCLEMORE, MEMPHIS, TN, 
83078, 1200 S ORLEAN, MEMPHIS, TN, 
83079, 1200 S PARKWAY BLVD, MEMPHIS, TN, 
83080, 1200 S PARKWAY EAST PARKWAY, MEMPHIS, TN, 
83081, 1200 S PARKWAY RD, MEMPHIS, TN, 
83082, 1200 S PARKWAY, MEMPHIS, TN, 
83083, 1200 S PERKINS TERRACE, MEMPHIS, TN, 
83084, 1200 S PRESCOTT AVE, MEMPHIS, TN, 
83085, 1200 S PRESSCOTT, MEMPHIS, TN, 
83086, 1200 S REMBER, MEMPHIS, TN, 
83087, 1200 S SOMMERVILLE, MEMPHIS, TN, 
83088, 1200 S THRID, MEMPHIS, TN, 
83089, 1200 S WELLINGTON APT B, MEMPHIS, TN, 
83090, 1200 S WELLINGTON DR, MEMPHIS, TN, 
83091, 1200 S WHITE STA, MEMPHIS, TN, 
83092, 1200 S WHITESTATION RD, MEMPHIS, TN, 
83093, 1200 S WHITESTATION, MEMPHIS, TN, 
83094, 1200 S WILSON, MEMPHIS, TN, 
83095, 1200 S. BELLEVUE, MEMPHIS, TN, 
83096, 1200 S0 MAIN, MEMPHIS, TN, 
83097, 1200 SAINT VINCENT PLACE, MEMPHIS, TN, 
83098, 1200 SAINT VINCENT, MEMPHIS, TN, 
83099, 1200 SANBYRN DR, MEMPHIS, TN, 
83100, 1200 SANDRA RD, MEMPHIS, TN, 
83101, 1200 SANDYSTONE, MEMPHIS, TN, 
83102, 1200 SARA CV #1, MEMPHIS, TN, 
83103, 1200 SARA CV 3, MEMPHIS, TN, 
83104, 1200 SAUNDER, MEMPHIS, TN, 
83105, 1200 SAUNDERS 4, MEMPHIS, TN, 
83106, 1200 SBELLEVUE BLVD, MEMPHIS, TN, 
83107, 1200 SEATTLE, MEMPHIS, TN, 
83108, 1200 SEMMES #3, MEMPHIS, TN, 
83109, 1200 SEMMES 4, MEMPHIS, TN, 
