84001, 1300 MIDDLE COURT, MEMPHIS, TN, 
84002, 1300 MILANO CV, MEMPHIS, TN, 
84003, 1300 MILL CREEK, MEMPHIS, TN, 
84004, 1300 MILLBRIDGE LN, MEMPHIS, TN, 
84005, 1300 MINOR AVE, MEMPHIS, TN, 
84006, 1300 MISSIPPI, MEMPHIS, TN, 
84007, 1300 MISSISSPPI, MEMPHIS, TN, 
84008, 1300 MISTLE ISLE DR, MEMPHIS, TN, 
84009, 1300 MITCHELL, MEMPHIS, TN, 
84010, 1300 MONTGOMERY, MEMPHIS, TN, 
84011, 1300 MOREHEAD ST, MEMPHIS, TN, 
84012, 1300 MOSS BROOK LN, MEMPHIS, TN, 
84013, 1300 MOSS BROOK, MEMPHIS, TN, 
84014, 1300 MOSS BROOKS LN, MEMPHIS, TN, 
84015, 1300 MOUNT HOPE DR, MEMPHIS, TN, 
84016, 1300 MOUTHOPE DR, MEMPHIS, TN, 
84017, 1300 MT MORIAH RD, MEMPHIS, TN, 
84018, 1300 N 2ND, MEMPHIS, TN, 
84019, 1300 N 7TH STEET, MEMPHIS, TN, 
84020, 1300 N 7TH, MEMPHIS, TN, 
84021, 1300 N AIRWAYS, MEMPHIS, TN, 
84022, 1300 N BELLEVUE ST, MEMPHIS, TN, 
84023, 1300 N CLAYBROOK ST, MEMPHIS, TN, 
84024, 1300 N DECATUR, MEMPHIS, TN, 
84025, 1300 N EVERGREEN APT 4, MEMPHIS, TN, 
84026, 1300 N EVERGREEN ST, APT #1, MEMPHIS, TN, 
84027, 1300 N GERMAMTOWN PLWY, MEMPHIS, TN, 
84028, 1300 N GERMANTOWN 101, MEMPHIS, TN, 
84029, 1300 N GERMANTOWN AND BONNIE LN, MEMPHIS, TN, 
84030, 1300 N GERMANTOWN PARKWAY, MEMPHIS, TN, 
84031, 1300 N GERMANTOWN PKW, MEMPHIS, TN, 
84032, 1300 N GERMANTOWN PKWY #104, MEMPHIS, TN, 
84033, 1300 N GERMANTOWN PKWY 106, MEMPHIS, TN, 
84034, 1300 N GERMANTOWN PKWY ST, MEMPHIS, TN, 
84035, 1300 N GERMANTOWN PKWY STE 104, MEMPHIS, TN, 
84036, 1300 N GERMANTOWN PKWY,, MEMPHIS, TN, 
84037, 1300 N GERMANTOWN PKWY5, MEMPHIS, TN, 
84038, 1300 N GERMANTOWN SUITE 110, MEMPHIS, TN, 
84039, 1300 N GERMENTOWN, MEMPHIS, TN, 
84040, 1300 N GERMSNTOWN PKY, MEMPHIS, TN, 
84041, 1300 N GERNAMTOWN PKWY, MEMPHIS, TN, 
84042, 1300 N GRAHAM DR, MEMPHIS, TN, 
84043, 1300 N GRAHAM RED, MEMPHIS, TN, 
84044, 1300 N GRAHAM ROAD, MEMPHIS, TN, 
84045, 1300 N GRAHAM ST, ROOM 125, MEMPHIS, TN, 
84046, 1300 N GRAHAM STREET, MEMPHIS, TN, 
84047, 1300 N HIGHLAND AVE, MEMPHIS, TN, 
84048, 1300 N LIONS GATE DR, MEMPHIS, TN, 
84049, 1300 N LIONS GATE, MEMPHIS, TN, 
84050, 1300 N LIONS GATES, MEMPHIS, TN, 
84051, 1300 N MANANSAS, MEMPHIS, TN, 
84052, 1300 N MANNASSA, MEMPHIS, TN, 
84053, 1300 N MCCLAIN, MEMPHIS, TN, 
84054, 1300 N MCLAIN, MEMPHIS, TN, 
84055, 1300 N MCNEAL, MEMPHIS, TN, 
84056, 1300 N MERCHANT, MEMPHIS, TN, 
84057, 1300 N MERTON, MEMPHIS, TN, 
84058, 1300 N PAKWAY, MEMPHIS, TN, 
84059, 1300 N PKWY AVE, MEMPHIS, TN, 
84060, 1300 N PKWY ST, MEMPHIS, TN, 
84061, 1300 N PRIMACY PARKWAY RD, MEMPHIS, TN, 
84062, 1300 N PRIMACY PKWY RD, MEMPHIS, TN, 
84063, 1300 N PRIMACY PW AVE, MEMPHIS, TN, 
84064, 1300 N PRIMACY PWY AVE, MEMPHIS, TN, 
84065, 1300 N SESSION, MEMPHIS, TN, 
84066, 1300 N SPRINGDALE, MEMPHIS, TN, 
84067, 1300 N SSESSIONS, MEMPHIS, TN, 
84068, 1300 N WHITE STATION, MEMPHIS, TN, 
84069, 1300 N WILLET, MEMPHIS, TN, 
84070, 1300 N WILLETT ST, MEMPHIS, TN, 
84071, 1300 N, MCNEIL, MEMPHIS, TN, 
84072, 1300 N. EVERGREEN, MEMPHIS, TN, 
84073, 1300 N. GERMANTOWN, MEMPHIS, TN, 
84074, 1300 NATHANIEL CIRCLE EAST, MEMPHIS, TN, 
84075, 1300 NATIONAL AVE, MEMPHIS, TN, 
84076, 1300 NAVAHO, MEMPHIS, TN, 
84077, 1300 NBELLEVUE, MEMPHIS, TN, 
84078, 1300 NEISE, MEMPHIS, TN, 
84079, 1300 NEPTUNE AVE, MEMPHIS, TN, 
84080, 1300 NEPUTUNE, MEMPHIS, TN, 
84081, 1300 NEW GATE RD, MEMPHIS, TN, 
84082, 1300 NEW GETWELL RD, MEMPHIS, TN, 
84083, 1300 NEW GETWELL, MEMPHIS, TN, 
84084, 1300 NEW HAVEN CIR, MEMPHIS, TN, 
84085, 1300 NEWARK ST, MEMPHIS, TN, 
84086, 1300 NGERMANTOWN PRKWAY, MEMPHIS, TN, 
84087, 1300 NGERMANTOWN, MEMPHIS, TN, 
84088, 1300 NGRAHAM ST, MEMPHIS, TN, 
84089, 1300 NGRAHAM, MEMPHIS, TN, 
84090, 1300 NICHOLAS STREET, MEMPHIS, TN, 
84091, 1300 NICKLOUS, MEMPHIS, TN, 
84092, 1300 NICOHLAS, MEMPHIS, TN, 
84093, 1300 NICOLAS, MEMPHIS, TN, 
84094, 1300 NIESE AVE, MEMPHIS, TN, 
84095, 1300 NIGRAHAM, MEMPHIS, TN, 
84096, 1300 NOCHOLAS, MEMPHIS, TN, 
84097, 1300 NONCONNAH BLVD, MEMPHIS, TN, 
84098, 1300 NORH HOLLYWOOD, MEMPHIS, TN, 
84099, 1300 NORMA ALY, MEMPHIS, TN, 
84100, 1300 NORMA RD, MEMPHIS, TN, 
84101, 1300 NORTH 7TH ST, MEMPHIS, TN, 
84102, 1300 NORTH BELLVIEW BLVD, MEMPHIS, TN, 
84103, 1300 NORTH CLAYBROOK ST, MEMPHIS, TN, 
84104, 1300 NORTH CLAYBROOK, MEMPHIS, TN, 
84105, 1300 NORTH EVERGREEN ST, MEMPHIS, TN, 
84106, 1300 NORTH GERMAN TOWN PKWY, MEMPHIS, TN, 
84107, 1300 NORTH GRAHAM RD, MEMPHIS, TN, 
84108, 1300 NORTH HAVEN CIR, MEMPHIS, TN, 
84109, 1300 NORTH HOLLYWOOD AVE, MEMPHIS, TN, 
84110, 1300 NORTH LIONSGATE, MEMPHIS, TN, 
84111, 1300 NORTH MANASSAS ST, MEMPHIS, TN, 
84112, 1300 NORTH MANASSAS, MEMPHIS, TN, 
84113, 1300 NORTH MCNEIL, MEMPHIS, TN, 
84114, 1300 NORTH PARKWAY, MEMPHIS, TN, 
84115, 1300 NORTH SECOND ST, MEMPHIS, TN, 
84116, 1300 NORTH SECOND, MEMPHIS, TN, 
84117, 1300 NORTH SESSIONS, MEMPHIS, TN, 
84118, 1300 NORTH SEVENTH, MEMPHIS, TN, 
84119, 1300 NORTH TREZEVANT ST, MEMPHIS, TN, 
84120, 1300 NPARKWAY, MEMPHIS, TN, 
84121, 1300 NTH HOLLYWOOD, MEMPHIS, TN, 
84122, 1300 NUPTUNE ST, MEMPHIS, TN, 
84123, 1300 OAK RIDGE RD, MEMPHIS, TN, 
84124, 1300 OAK RIVER RD, MEMPHIS, TN, 
84125, 1300 OAK RIVER, MEMPHIS, TN, 
84126, 1300 OAKRIDGE RD, MEMPHIS, TN, 
84127, 1300 OAKVIEW ST, MEMPHIS, TN, 
84128, 1300 OAKWOOD CV, MEMPHIS, TN, 
84129, 1300 OAKWOOD RD, MEMPHIS, TN, 
84130, 1300 OAL PARK CV, MEMPHIS, TN, 
84131, 1300 OR 1224 MARIA, MEMPHIS, TN, 
84132, 1300 ORGILL AND BELLEVUE BLVD, MEMPHIS, TN, 
84133, 1300 ORLEARNS, MEMPHIS, TN, 
84134, 1300 OVER TON PARK AVE, MEMPHIS, TN, 
84135, 1300 OVERTON PARK APT 3, MEMPHIS, TN, 
84136, 1300 OVERTON PKWY, MEMPHIS, TN, 
84137, 1300 OVERTON, MEMPHIS, TN, 
84138, 1300 OVRETON PARK, MEMPHIS, TN, 
84139, 1300 PAMELA DR, MEMPHIS, TN, 
84140, 1300 PARK AVE, MEMPHIS, TN, 
84141, 1300 PARK CASTLE COVE, MEMPHIS, TN, 
84142, 1300 PARK PL, MEMPHIS, TN, 
84143, 1300 PARK PLACE CTR, MEMPHIS, TN, 
84144, 1300 PARK PLACE, MEMPHIS, TN, 
84145, 1300 PARKCASTLE CV, MEMPHIS, TN, 
84146, 1300 PARKROSE AVE, MEMPHIS, TN, 
84147, 1300 PARKROSE DR, MEMPHIS, TN, 
84148, 1300 PARKROSR, MEMPHIS, TN, 
84149, 1300 PAULWOOD, MEMPHIS, TN, 
84150, 1300 PEABODY AVE APT 10, MEMPHIS, TN, 
84151, 1300 PEABODY AVENUE, MEMPHIS, TN, 
84152, 1300 PEABODY ST, MEMPHIS, TN, 
84153, 1300 PEACH AVE, MEMPHIS, TN, 
84154, 1300 PEACH RD, MEMPHIS, TN, 
84155, 1300 PEACH ST, MEMPHIS, TN, 
84156, 1300 PEBODY AVE, MEMPHIS, TN, 
84157, 1300 PEGEON PERCH, MEMPHIS, TN, 
84158, 1300 PENNINGTON GAP, MEMPHIS, TN, 
84159, 1300 PERA RD, MEMPHIS, TN, 
84160, 1300 PERKINS TERR, MEMPHIS, TN, 
84161, 1300 PHILIPS, MEMPHIS, TN, 
84162, 1300 PHILLIP PLACE, MEMPHIS, TN, 
84163, 1300 PHILLIP ST, MEMPHIS, TN, 
84164, 1300 PHILLIPS ST, MEMPHIS, TN, 
84165, 1300 PHILLPS, MEMPHIS, TN, 
84166, 1300 PIDGEON PIRCH, MEMPHIS, TN, 
84167, 1300 PIDGEON PIRTCH, MEMPHIS, TN, 
