88001, 1600 PARK VIEW CIRCLE, MEMPHIS, TN, 
88002, 1600 PARKVIEW CIRCLE, MEMPHIS, TN, 
88003, 1600 PARKVIEW, MEMPHIS, TN, 
88004, 1600 PARKWAY CIRCLE E ST, MEMPHIS, TN, 
88005, 1600 PARKWAY VIEW CIRCLE AVE, MEMPHIS, TN, 
88006, 1600 PARKWAY VIEW CR AVE, MEMPHIS, TN, 
88007, 1600 PARKWAY VIEW CR ST, MEMPHIS, TN, 
88008, 1600 PARKWAY VIEW PL, MEMPHIS, TN, 
88009, 1600 PARKWAY VIEW RD, MEMPHIS, TN, 
88010, 1600 PARKWAY, MEMPHIS, TN, 
88011, 1600 PARNELL AVE, MEMPHIS, TN, 
88012, 1600 PARTEE CV, MEMPHIS, TN, 
88013, 1600 PATTEN ST, MEMPHIS, TN, 
88014, 1600 PAULLAS, MEMPHIS, TN, 
88015, 1600 PAULLIS, MEMPHIS, TN, 
88016, 1600 PAULLUS ST, MEMPHIS, TN, 
88017, 1600 PAULUUS, MEMPHIS, TN, 
88018, 1600 PENDLTON, MEMPHIS, TN, 
88019, 1600 PENNSYLIVANA, MEMPHIS, TN, 
88020, 1600 PENNSYLVAINIA, MEMPHIS, TN, 
88021, 1600 PENNSYVANLIA, MEMPHIS, TN, 
88022, 1600 PENNYSLVANIA ST, MEMPHIS, TN, 
88023, 1600 PEPPER WOOD, MEMPHIS, TN, 
88024, 1600 PEPPERWOOD DR, MEMPHIS, TN, 
88025, 1600 PERA, MEMPHIS, TN, 
88026, 1600 PERES, MEMPHIS, TN, 
88027, 1600 PERRY, MEMPHIS, TN, 
88028, 1600 PERSON ST, MEMPHIS, TN, 
88029, 1600 PERSTON, MEMPHIS, TN, 
88030, 1600 PILLOW AND GOLD, MEMPHIS, TN, 
88031, 1600 PILLOW AVE, MEMPHIS, TN, 
88032, 1600 PILLOW RD, MEMPHIS, TN, 
88033, 1600 PINE CRST, MEMPHIS, TN, 
88034, 1600 PINE SHADOWS DR, MEMPHIS, TN, 
88035, 1600 PKWY APT101, MEMPHIS, TN, 
88036, 1600 PKWY CIRCLE, MEMPHIS, TN, 
88037, 1600 PKWY VIEW CIR 202, MEMPHIS, TN, 
88038, 1600 PKWY VIEW CIRCLE #202, MEMPHIS, TN, 
88039, 1600 PKWY VIEW CIRCLE 102, MEMPHIS, TN, 
88040, 1600 PKWY VIEW CIRCLE EAST 102, MEMPHIS, TN, 
88041, 1600 PKWY VIEW CIRLCE, MEMPHIS, TN, 
88042, 1600 PKWY VIEW CLE, MEMPHIS, TN, 
88043, 1600 PKWY VIEW LN, MEMPHIS, TN, 
88044, 1600 PKWY VW CIR, MEMPHIS, TN, 
88045, 1600 PKWY, MEMPHIS, TN, 
88046, 1600 PKWYVIEW CIRCLE, MEMPHIS, TN, 
88047, 1600 POPLAR AVE #17, MEMPHIS, TN, 
88048, 1600 POPLAR AVE AND AVALON ST, MEMPHIS, TN, 
88049, 1600 POPLAR CIR, MEMPHIS, TN, 
88050, 1600 POPLAR OAK CIR, MEMPHIS, TN, 
88051, 1600 POPLAR OAK CIRCL, MEMPHIS, TN, 
88052, 1600 POPLAR OAK CL, MEMPHIS, TN, 
88053, 1600 POPLAR OAKS CIRCLE 1, MEMPHIS, TN, 
88054, 1600 POPLAR OAKS CIRCLE 2, MEMPHIS, TN, 
88055, 1600 POPLAR OAKS CL, MEMPHIS, TN, 
88056, 1600 POPLAR OAKS CR APT 2, MEMPHIS, TN, 
88057, 1600 POPULAR OAKS CIRCLE, MEMPHIS, TN, 
88058, 1600 PRESTON RD, MEMPHIS, TN, 
88059, 1600 PRIMACY PKWY, MEMPHIS, TN, 
88060, 1600 QUAIL POINT CIR, MEMPHIS, TN, 
88061, 1600 QUAIL POINTE CIR W, MEMPHIS, TN, 
88062, 1600 QUALL POINT CIR W, MEMPHIS, TN, 
88063, 1600 QUINN, MEMPHIS, TN, 
88064, 1600 RABB ST, MEMPHIS, TN, 
88065, 1600 RABB, MEMPHIS, TN, 
88066, 1600 RAGAN 201, MEMPHIS, TN, 
88067, 1600 RAGAN APT 201, MEMPHIS, TN, 
88068, 1600 RAGAN AVE, MEMPHIS, TN, 
88069, 1600 RAINEY DR, MEMPHIS, TN, 
88070, 1600 RAINEY, MEMPHIS, TN, 
88071, 1600 RAJA, MEMPHIS, TN, 
88072, 1600 RANDOLPH PLACE, MEMPHIS, TN, 
88073, 1600 RAVEN RD, MEMPHIS, TN, 
88074, 1600 RAVEN ST, MEMPHIS, TN, 
88075, 1600 REAGAN #102, MEMPHIS, TN, 
88076, 1600 REBECA, MEMPHIS, TN, 
88077, 1600 RED BARN DR, MEMPHIS, TN, 
88078, 1600 RED BARN, MEMPHIS, TN, 
88079, 1600 RIVER FARMS CV, MEMPHIS, TN, 
88080, 1600 RIVERSIDE BL ST, MEMPHIS, TN, 
88081, 1600 RIVERSIDE BOULEVARD, MEMPHIS, TN, 
88082, 1600 ROBIN HOOD L, MEMPHIS, TN, 
88083, 1600 ROBIN HOOD RD, MEMPHIS, TN, 
88084, 1600 ROCKY MEADOWS RD, MEMPHIS, TN, 
88085, 1600 ROCKY MEADOWS TRIAL, MEMPHIS, TN, 
88086, 1600 ROCKY MEADOWS, MEMPHIS, TN, 
88087, 1600 ROLAND PL, MEMPHIS, TN, 
88088, 1600 ROLLING HILLS AVE, MEMPHIS, TN, 
88089, 1600 ROLLING HILLS RD, MEMPHIS, TN, 
88090, 1600 ROLLING HILLS ST, MEMPHIS, TN, 
88091, 1600 ROLLING HLS, MEMPHIS, TN, 
88092, 1600 ROLLINGHILLS, MEMPHIS, TN, 
88093, 1600 ROOERVELT, MEMPHIS, TN, 
88094, 1600 ROOSELVELT, MEMPHIS, TN, 
88095, 1600 ROOSEVELT ST AND GLASKOW ST, MEMPHIS, TN, 
88096, 1600 ROOSEVOLT, MEMPHIS, TN, 
88097, 1600 ROSECLIFF, MEMPHIS, TN, 
88098, 1600 ROSEVLELT, MEMPHIS, TN, 
88099, 1600 RUSKIN ST, MEMPHIS, TN, 
88100, 1600 RUSWOOD, MEMPHIS, TN, 
88101, 1600 S BUNTYN RD, MEMPHIS, TN, 
88102, 1600 S GALLOWAY, MEMPHIS, TN, 
88103, 1600 S GERMANTOWN RD, MEMPHIS, TN, 
88104, 1600 S GETWELL, MEMPHIS, TN, 
88105, 1600 S HIGHLAND AVE, MEMPHIS, TN, 
88106, 1600 S LAUDERDALE RD, MEMPHIS, TN, 
88107, 1600 S MAIN, MEMPHIS, TN, 
88108, 1600 S MC LEAN AVE, MEMPHIS, TN, 
88109, 1600 S MC LEAN, MEMPHIS, TN, 
88110, 1600 S MCCLEAN, MEMPHIS, TN, 
88111, 1600 S MONTGOMERY RD, MEMPHIS, TN, 
