8001, 700 JACKSON AVE, MEMPHIS, TN, 
8002, 700 JENNETTE PL, MEMPHIS, TN, 
8003, 700 KENT ST, MEMPHIS, TN, 
8004, 700 N HOLMES, MEMPHIS, TN, 
8005, 700 N MAIN ST, MEMPHIS, TN, 
8006, 700 S MENDENHALL RD, MEMPHIS, TN, 
8007, 700 SPOTTSWOOD MANOR, MEMPHIS, TN, 
8008, 700 SPRING ST, MEMPHIS, TN, 
8009, 700 WATSON, MEMPHIS, TN, 
8010, 7100 WOODLAKE, MEMPHIS, TN, 
8011, 800 BALTIC, MEMPHIS, TN, 
8012, 800 E DEMPSTER, MEMPHIS, TN, 
8013, 800 N TREZEVANT, MEMPHIS, TN, 
8014, 800 N WILLETT, MEMPHIS, TN, 
8015, 800 S MAIN, MEMPHIS, TN, 
8016, 8400 WINCHESTER RD, MEMPHIS, TN, 
8017, 900 KIPPLEY ST, MEMPHIS, TN, 
8018, 900 NATIONAL, MEMPHIS, TN, 
8019, 9100 GRACIE LN, MEMPHIS, TN, 
8020, AMERICAN WAY AND LAMAR, MEMPHIS, TN, 
8021, BEALE AND FRONT, MEMPHIS, TN, 
8022, BREEDLOVE AND CHELSEA, MEMPHIS, TN, 
8023, CLEVELAND AND JEFFERSON, MEMPHIS, TN, 
8024, FLORIDA AND BELZ, MEMPHIS, TN, 
8025, I240 AND MILLBRANCH, MEMPHIS, TN, 
8026, KNIGHT ARNOLD AND KNIGHT, MEMPHIS, TN, 
8027, RAINES AND FARONIA, MEMPHIS, TN, 
8028, SHADY VISTA AND WOODCLIFF, MEMPHIS, TN, 
8029, SUMMER AND POPE, MEMPHIS, TN, 
8030, TCHULAHOMA AND KNIGHT ARNOLD, MEMPHIS, TN, 
8031, THIRD AND GAYOSO, MEMPHIS, TN, 
8032, YALE AND AUSTIN PEAY, MEMPHIS, TN, 
8033, 100 ANGELUS, MEMPHIS, TN, 
8034, 100 E FERNWOOD, MEMPHIS, TN, 
8035, 100 N CLAYBROOK ST, MEMPHIS, TN, 
8036, 100 SOMERVILLE, MEMPHIS, TN, 
8037, 1000 DELMAR, MEMPHIS, TN, 
8038, 1000 J W WILLIAMS, MEMPHIS, TN, 
8039, 1000 MAPLE DR, MEMPHIS, TN, 
8040, 1000 MARIA, MEMPHIS, TN, 
8041, 1000 MONTGOMERY, MEMPHIS, TN, 
8042, 1000 OLYMPIC, MEMPHIS, TN, 
8043, 1000 POPLAR, MEMPHIS, TN, 
8044, 1000 RIDGEWAY LOOP, MEMPHIS, TN, 
8045, 1000 S GREER, MEMPHIS, TN, 
8046, 1000 WINGFIELD, MEMPHIS, TN, 
8047, 1100 AVON, MEMPHIS, TN, 
8048, 1100 BLYTHE, MEMPHIS, TN, 
8049, 1100 CHATWOOD, MEMPHIS, TN, 
8050, 1100 GETWELL RD, MEMPHIS, TN, 
8051, 1100 JACKSON AVE, MEMPHIS, TN, 
8052, 1100 LOUISVILLE, MEMPHIS, TN, 
8053, 1100 RAMONA, MEMPHIS, TN, 
8054, 1100 WINGFIELD, MEMPHIS, TN, 
8055, 1200 GOODMAN, MEMPHIS, TN, 
8056, 1200 MT VERNON, MEMPHIS, TN, 
8057, 1200 SEMMES ST, MEMPHIS, TN, 
8058, 1200 VAUGHN, MEMPHIS, TN, 
8059, 1300 E MALLORY, MEMPHIS, TN, 
8060, 1300 GILL AVE, MEMPHIS, TN, 
8061, 1300 ORLEANS, MEMPHIS, TN, 
8062, 1300 S WILLETT, MEMPHIS, TN, 
8063, 1300 TUTWILER AVE, MEMPHIS, TN, 
8064, 1400 EAST SHELBY, MEMPHIS, TN, 
8065, 1400 LINDEN, MEMPHIS, TN, 
8066, 1400 OAK ST, MEMPHIS, TN, 
8067, 1400 RIDGEWAY ST, MEMPHIS, TN, 
8068, 1400 S ORLEANS, MEMPHIS, TN, 
8069, 1400 S WELLINGTON, MEMPHIS, TN, 
8070, 1400 STAGE, MEMPHIS, TN, 
8071, 1400 TIMOTHY, MEMPHIS, TN, 
8072, 1500 EAST SHELBY DR, MEMPHIS, TN, 
8073, 1500 HEMLOCK ST, MEMPHIS, TN, 
8074, 1500 KYLE, MEMPHIS, TN, 
8075, 1500 ORR, MEMPHIS, TN, 
8076, 1600 COLONIAL, MEMPHIS, TN, 
8077, 1600 GENESIS CIRCLE, MEMPHIS, TN, 
