93001, 200 WEST MITCHELLL, MEMPHIS, TN, 
93002, 200 WEST OAK CIRCLE, MEMPHIS, TN, 
93003, 200 WEST PEEBLES RD, MEMPHIS, TN, 
93004, 200 WEST RED OAK 101, MEMPHIS, TN, 
93005, 200 WEST RED OAK 202, MEMPHIS, TN, 
93006, 200 WEST RED OAK DR APARTMENT 101, MEMPHIS, TN, 
93007, 200 WEST RED OAK DRIVE, MEMPHIS, TN, 
93008, 200 WEST RED OAKS DR, MEMPHIS, TN, 
93009, 200 WEST REDOAK, MEMPHIS, TN, 
93010, 200 WEST REDOAKS APT 202, MEMPHIS, TN, 
93011, 200 WEST RIVER VIEW #101, MEMPHIS, TN, 
93012, 200 WEST VAN HUESEN, MEMPHIS, TN, 
93013, 200 WEST VIKING DR, MEMPHIS, TN, 
93014, 200 WESTERN PARK, MEMPHIS, TN, 
93015, 200 WESTLEY FOREST DR 102, MEMPHIS, TN, 
93016, 200 WESTLEY FORREST DR APT 101, MEMPHIS, TN, 
93017, 200 WESTLEY FORREST DR, MEMPHIS, TN, 
93018, 200 WESTLEY OAKS DR, MEMPHIS, TN, 
93019, 200 WESTLEY, MEMPHIS, TN, 
93020, 200 WILDER TOWER, MEMPHIS, TN, 
93021, 200 WILLIFORD PL, MEMPHIS, TN, 
93022, 200 WILLIFORD ST, MEMPHIS, TN, 
93023, 200 WINCHESTER RD, MEMPHIS, TN, 
93024, 200 WIND OVER CV, MEMPHIS, TN, 
93025, 200 WINDBREEZE DR, MEMPHIS, TN, 
93026, 200 WINDBREEZE ST, MEMPHIS, TN, 
93027, 200 WINDHAM, MEMPHIS, TN, 
93028, 200 WINDOVER APT 3, MEMPHIS, TN, 
93029, 200 WINDOVER AVE, MEMPHIS, TN, 
93030, 200 WINDOVER PL, MEMPHIS, TN, 
93031, 200 WINDOVER RD APT 4, MEMPHIS, TN, 
93032, 200 WINDOVER RD., MEMPHIS, TN, 
93033, 200 WINSOR RD, MEMPHIS, TN, 
93034, 200 WOOD GROVE, MEMPHIS, TN, 
93035, 200 WOODGROVE DR, MEMPHIS, TN, 
93036, 200 WREDOAK DR, MEMPHIS, TN, 
93037, 200 WUNDLERICH CV, MEMPHIS, TN, 
93038, 200 WYTON ST, MEMPHIS, TN, 
